date;station_uuid;diesel;e5;e10;dieselchange;e5change;e10change
2022-09-02 18:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.889;1.829;1;0;0
2022-09-02 19:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;1;1;1
2022-09-02 19:09:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;0;1;1
2022-09-02 20:34:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.909;1.849;1;0;0
2022-09-02 20:42:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-03 05:01:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.169;2.109;1;1;1
2022-09-03 07:51:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.949;1.889;0;1;1
2022-09-03 08:27:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.949;1.889;1;0;0
2022-09-03 08:43:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.949;1.889;1;0;0
2022-09-03 09:02:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.999;1.939;1;1;1
2022-09-03 09:15:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.939;1.879;0;1;1
2022-09-03 11:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.939;1.879;1;0;0
2022-09-03 11:20:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.899;1.839;1;1;1
2022-09-03 12:06:05;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.949;1.889;1;1;1
2022-09-03 12:41:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.939;1.879;0;1;1
2022-09-03 13:27:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.939;1.879;1;0;0
2022-09-03 14:10:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.889;1.829;1;1;1
2022-09-03 14:43:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.889;1.829;1;0;0
2022-09-03 15:01:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.929;1.869;1;1;1
2022-09-03 15:11:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.919;1.859;0;1;1
2022-09-03 16:37:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.919;1.859;1;0;0
2022-09-03 16:46:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.919;1.859;1;0;0
2022-09-03 17:09:11;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.939;1.879;1;1;1
2022-09-03 17:11:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;1;1;1
2022-09-03 18:31:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.899;1.839;1;0;0
2022-09-03 18:38:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;0;1;1
2022-09-03 19:07:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.909;1.849;1;1;1
2022-09-03 20:55:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.879;1.819;1;1;1
2022-09-04 05:02:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;2.169;2.109;1;1;1
2022-09-04 07:55:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.949;1.889;0;1;1
2022-09-04 09:04:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.999;1.939;1;1;1
